id,name,description,amount_type,amount,country_id:id,tax_group_id:id,tax_scope,type_tax_use,price_include,price_include_override,include_base_amount,children_tax_ids:id
tpv_ir_01,"TPV - IR (0 à 2+ ANS, 19.0%)",Impôt sur le revenu associé à la TPV après 0 à 2+ ANS de détention. Base: 19.0% - appliqué à 100% | 0% d'abattement > 19.0%,percent,-19.0,base.fr,fr_gold_taxes.tax_group_tpv,consu,none,False,tax_excluded,False,
tpv_urssaf_01,"TPV - URSSAF (0 à 2+ ANS, 17.2%)",Prélèvements sociaux associé à la TPV après 0 à 2+ ANS de détention. Base: 17.2% - appliqué à 100% | 0% d'abattement > 17.2%,percent,-17.2,base.fr,fr_gold_taxes.tax_group_tpv,consu,none,False,tax_excluded,False,
tpv_group_01,TPV (0 à 2+ ANS),Taxe sur la plus-value après 0 à 2+ ANS de détention d'un bien. Base: 36.2% - appliqué à 100% | 0% d'abattement > 36.2%,group,0.0,base.fr,fr_gold_taxes.tax_group_tpv,consu,sale,False,,False,"fr_gold_taxes.tpv_ir_01,fr_gold_taxes.tpv_urssaf_01"
tpv_ir_02,"TPV - IR (3+ ANS, 18.05%)",Impôt sur le revenu associé à la TPV après 3+ ANS de détention. Base: 19.0% - appliqué à 95% | 5% d'abattement > 18.05%,percent,-18.05,base.fr,fr_gold_taxes.tax_group_tpv,consu,none,False,tax_excluded,False,
tpv_urssaf_02,"TPV - URSSAF (3+ ANS, 16.34%)",Prélèvements sociaux associé à la TPV après 3+ ANS de détention. Base: 17.2% - appliqué à 95% | 5% d'abattement > 16.34%,percent,-16.34,base.fr,fr_gold_taxes.tax_group_tpv,consu,none,False,tax_excluded,False,
tpv_group_02,TPV (3+ ANS),Taxe sur la plus-value après 3+ ANS de détention d'un bien. Base: 36.2% - appliqué à 95% | 5% d'abattement > 34.39%,group,0.0,base.fr,fr_gold_taxes.tax_group_tpv,consu,sale,False,,False,"fr_gold_taxes.tpv_ir_02,fr_gold_taxes.tpv_urssaf_02"
tpv_ir_03,"TPV - IR (4+ ANS, 17.1%)",Impôt sur le revenu associé à la TPV après 4+ ANS de détention. Base: 19.0% - appliqué à 90% | 10% d'abattement > 17.1%,percent,-17.1,base.fr,fr_gold_taxes.tax_group_tpv,consu,none,False,tax_excluded,False,
tpv_urssaf_03,"TPV - URSSAF (4+ ANS, 15.48%)",Prélèvements sociaux associé à la TPV après 4+ ANS de détention. Base: 17.2% - appliqué à 90% | 10% d'abattement > 15.48%,percent,-15.48,base.fr,fr_gold_taxes.tax_group_tpv,consu,none,False,tax_excluded,False,
tpv_group_03,TPV (4+ ANS),Taxe sur la plus-value après 4+ ANS de détention d'un bien. Base: 36.2% - appliqué à 90% | 10% d'abattement > 32.58%,group,0.0,base.fr,fr_gold_taxes.tax_group_tpv,consu,sale,False,,False,"fr_gold_taxes.tpv_ir_03,fr_gold_taxes.tpv_urssaf_03"
tpv_ir_04,"TPV - IR (5+ ANS, 16.15%)",Impôt sur le revenu associé à la TPV après 5+ ANS de détention. Base: 19.0% - appliqué à 85% | 15% d'abattement > 16.15%,percent,-16.15,base.fr,fr_gold_taxes.tax_group_tpv,consu,none,False,tax_excluded,False,
tpv_urssaf_04,"TPV - URSSAF (5+ ANS, 14.62%)",Prélèvements sociaux associé à la TPV après 5+ ANS de détention. Base: 17.2% - appliqué à 85% | 15% d'abattement > 14.62%,percent,-14.62,base.fr,fr_gold_taxes.tax_group_tpv,consu,none,False,tax_excluded,False,
tpv_group_04,TPV (5+ ANS),Taxe sur la plus-value après 5+ ANS de détention d'un bien. Base: 36.2% - appliqué à 85% | 15% d'abattement > 30.77%,group,0.0,base.fr,fr_gold_taxes.tax_group_tpv,consu,sale,False,,False,"fr_gold_taxes.tpv_ir_04,fr_gold_taxes.tpv_urssaf_04"
tpv_ir_05,"TPV - IR (6+ ANS, 15.2%)",Impôt sur le revenu associé à la TPV après 6+ ANS de détention. Base: 19.0% - appliqué à 80% | 20% d'abattement > 15.2%,percent,-15.2,base.fr,fr_gold_taxes.tax_group_tpv,consu,none,False,tax_excluded,False,
tpv_urssaf_05,"TPV - URSSAF (6+ ANS, 13.76%)",Prélèvements sociaux associé à la TPV après 6+ ANS de détention. Base: 17.2% - appliqué à 80% | 20% d'abattement > 13.76%,percent,-13.76,base.fr,fr_gold_taxes.tax_group_tpv,consu,none,False,tax_excluded,False,
tpv_group_05,TPV (6+ ANS),Taxe sur la plus-value après 6+ ANS de détention d'un bien. Base: 36.2% - appliqué à 80% | 20% d'abattement > 28.96%,group,0.0,base.fr,fr_gold_taxes.tax_group_tpv,consu,sale,False,,False,"fr_gold_taxes.tpv_ir_05,fr_gold_taxes.tpv_urssaf_05"
tpv_ir_06,"TPV - IR (7+ ANS, 14.25%)",Impôt sur le revenu associé à la TPV après 7+ ANS de détention. Base: 19.0% - appliqué à 75% | 25% d'abattement > 14.25%,percent,-14.25,base.fr,fr_gold_taxes.tax_group_tpv,consu,none,False,tax_excluded,False,
tpv_urssaf_06,"TPV - URSSAF (7+ ANS, 12.9%)",Prélèvements sociaux associé à la TPV après 7+ ANS de détention. Base: 17.2% - appliqué à 75% | 25% d'abattement > 12.9%,percent,-12.9,base.fr,fr_gold_taxes.tax_group_tpv,consu,none,False,tax_excluded,False,
tpv_group_06,TPV (7+ ANS),Taxe sur la plus-value après 7+ ANS de détention d'un bien. Base: 36.2% - appliqué à 75% | 25% d'abattement > 27.15%,group,0.0,base.fr,fr_gold_taxes.tax_group_tpv,consu,sale,False,,False,"fr_gold_taxes.tpv_ir_06,fr_gold_taxes.tpv_urssaf_06"
tpv_ir_07,"TPV - IR (8+ ANS, 13.3%)",Impôt sur le revenu associé à la TPV après 8+ ANS de détention. Base: 19.0% - appliqué à 70% | 30% d'abattement > 13.3%,percent,-13.3,base.fr,fr_gold_taxes.tax_group_tpv,consu,none,False,tax_excluded,False,
tpv_urssaf_07,"TPV - URSSAF (8+ ANS, 12.04%)",Prélèvements sociaux associé à la TPV après 8+ ANS de détention. Base: 17.2% - appliqué à 70% | 30% d'abattement > 12.04%,percent,-12.04,base.fr,fr_gold_taxes.tax_group_tpv,consu,none,False,tax_excluded,False,
tpv_group_07,TPV (8+ ANS),Taxe sur la plus-value après 8+ ANS de détention d'un bien. Base: 36.2% - appliqué à 70% | 30% d'abattement > 25.34%,group,0.0,base.fr,fr_gold_taxes.tax_group_tpv,consu,sale,False,,False,"fr_gold_taxes.tpv_ir_07,fr_gold_taxes.tpv_urssaf_07"
tpv_ir_08,"TPV - IR (9+ ANS, 12.35%)",Impôt sur le revenu associé à la TPV après 9+ ANS de détention. Base: 19.0% - appliqué à 65% | 35% d'abattement > 12.35%,percent,-12.35,base.fr,fr_gold_taxes.tax_group_tpv,consu,none,False,tax_excluded,False,
tpv_urssaf_08,"TPV - URSSAF (9+ ANS, 11.18%)",Prélèvements sociaux associé à la TPV après 9+ ANS de détention. Base: 17.2% - appliqué à 65% | 35% d'abattement > 11.18%,percent,-11.18,base.fr,fr_gold_taxes.tax_group_tpv,consu,none,False,tax_excluded,False,
tpv_group_08,TPV (9+ ANS),Taxe sur la plus-value après 9+ ANS de détention d'un bien. Base: 36.2% - appliqué à 65% | 35% d'abattement > 23.53%,group,0.0,base.fr,fr_gold_taxes.tax_group_tpv,consu,sale,False,,False,"fr_gold_taxes.tpv_ir_08,fr_gold_taxes.tpv_urssaf_08"
tpv_ir_09,"TPV - IR (10+ ANS, 11.4%)",Impôt sur le revenu associé à la TPV après 10+ ANS de détention. Base: 19.0% - appliqué à 60% | 40% d'abattement > 11.4%,percent,-11.4,base.fr,fr_gold_taxes.tax_group_tpv,consu,none,False,tax_excluded,False,
tpv_urssaf_09,"TPV - URSSAF (10+ ANS, 10.32%)",Prélèvements sociaux associé à la TPV après 10+ ANS de détention. Base: 17.2% - appliqué à 60% | 40% d'abattement > 10.32%,percent,-10.32,base.fr,fr_gold_taxes.tax_group_tpv,consu,none,False,tax_excluded,False,
tpv_group_09,TPV (10+ ANS),Taxe sur la plus-value après 10+ ANS de détention d'un bien. Base: 36.2% - appliqué à 60% | 40% d'abattement > 21.72%,group,0.0,base.fr,fr_gold_taxes.tax_group_tpv,consu,sale,False,,False,"fr_gold_taxes.tpv_ir_09,fr_gold_taxes.tpv_urssaf_09"
tpv_ir_10,"TPV - IR (11+ ANS, 10.45%)",Impôt sur le revenu associé à la TPV après 11+ ANS de détention. Base: 19.0% - appliqué à 55% | 45% d'abattement > 10.45%,percent,-10.45,base.fr,fr_gold_taxes.tax_group_tpv,consu,none,False,tax_excluded,False,
tpv_urssaf_10,"TPV - URSSAF (11+ ANS, 9.46%)",Prélèvements sociaux associé à la TPV après 11+ ANS de détention. Base: 17.2% - appliqué à 55% | 45% d'abattement > 9.46%,percent,-9.46,base.fr,fr_gold_taxes.tax_group_tpv,consu,none,False,tax_excluded,False,
