id,tax_id:id,document_type,repartition_type,account_id:id,factor_percent
tpv_ir_01_repartition_line,fr_numismatics_taxes.tpv_ir_01,refund,tax,fr_numismatics_taxes.numim_442611,100.0
tpv_urssaf_01_repartition_line,fr_numismatics_taxes.tpv_urssaf_01,refund,tax,fr_numismatics_taxes.numim_442612,100.0
tpv_ir_02_repartition_line,fr_numismatics_taxes.tpv_ir_02,refund,tax,fr_numismatics_taxes.numim_442611,100.0
tpv_urssaf_02_repartition_line,fr_numismatics_taxes.tpv_urssaf_02,refund,tax,fr_numismatics_taxes.numim_442612,100.0
tpv_ir_03_repartition_line,fr_numismatics_taxes.tpv_ir_03,refund,tax,fr_numismatics_taxes.numim_442611,100.0
tpv_urssaf_03_repartition_line,fr_numismatics_taxes.tpv_urssaf_03,refund,tax,fr_numismatics_taxes.numim_442612,100.0
tpv_ir_04_repartition_line,fr_numismatics_taxes.tpv_ir_04,refund,tax,fr_numismatics_taxes.numim_442611,100.0
tpv_urssaf_04_repartition_line,fr_numismatics_taxes.tpv_urssaf_04,refund,tax,fr_numismatics_taxes.numim_442612,100.0
tpv_ir_05_repartition_line,fr_numismatics_taxes.tpv_ir_05,refund,tax,fr_numismatics_taxes.numim_442611,100.0
tpv_urssaf_05_repartition_line,fr_numismatics_taxes.tpv_urssaf_05,refund,tax,fr_numismatics_taxes.numim_442612,100.0
tpv_ir_06_repartition_line,fr_numismatics_taxes.tpv_ir_06,refund,tax,fr_numismatics_taxes.numim_442611,100.0
tpv_urssaf_06_repartition_line,fr_numismatics_taxes.tpv_urssaf_06,refund,tax,fr_numismatics_taxes.numim_442612,100.0
tpv_ir_07_repartition_line,fr_numismatics_taxes.tpv_ir_07,refund,tax,fr_numismatics_taxes.numim_442611,100.0
tpv_urssaf_07_repartition_line,fr_numismatics_taxes.tpv_urssaf_07,refund,tax,fr_numismatics_taxes.numim_442612,100.0
tpv_ir_08_repartition_line,fr_numismatics_taxes.tpv_ir_08,refund,tax,fr_numismatics_taxes.numim_442611,100.0
tpv_urssaf_08_repartition_line,fr_numismatics_taxes.tpv_urssaf_08,refund,tax,fr_numismatics_taxes.numim_442612,100.0
tpv_ir_09_repartition_line,fr_numismatics_taxes.tpv_ir_09,refund,tax,fr_numismatics_taxes.numim_442611,100.0
tpv_urssaf_09_repartition_line,fr_numismatics_taxes.tpv_urssaf_09,refund,tax,fr_numismatics_taxes.numim_442612,100.0
tpv_ir_10_repartition_line,fr_numismatics_taxes.tpv_ir_10,refund,tax,fr_numismatics_taxes.numim_442611,100.0
tpv_urssaf_10_repartition_line,fr_numismatics_taxes.tpv_urssaf_10,refund,tax,fr_numismatics_taxes.numim_442612,100.0
tpv_ir_11_repartition_line,fr_numismatics_taxes.tpv_ir_11,refund,tax,fr_numismatics_taxes.numim_442611,100.0
tpv_urssaf_11_repartition_line,fr_numismatics_taxes.tpv_urssaf_11,refund,tax,fr_numismatics_taxes.numim_442612,100.0
tpv_ir_12_repartition_line,fr_numismatics_taxes.tpv_ir_12,refund,tax,fr_numismatics_taxes.numim_442611,100.0
tpv_urssaf_12_repartition_line,fr_numismatics_taxes.tpv_urssaf_12,refund,tax,fr_numismatics_taxes.numim_442612,100.0
tpv_ir_13_repartition_line,fr_numismatics_taxes.tpv_ir_13,refund,tax,fr_numismatics_taxes.numim_442611,100.0
tpv_urssaf_13_repartition_line,fr_numismatics_taxes.tpv_urssaf_13,refund,tax,fr_numismatics_taxes.numim_442612,100.0
tpv_ir_14_repartition_line,fr_numismatics_taxes.tpv_ir_14,refund,tax,fr_numismatics_taxes.numim_442611,100.0
tpv_urssaf_14_repartition_line,fr_numismatics_taxes.tpv_urssaf_14,refund,tax,fr_numismatics_taxes.numim_442612,100.0
tpv_ir_15_repartition_line,fr_numismatics_taxes.tpv_ir_15,refund,tax,fr_numismatics_taxes.numim_442611,100.0
tpv_urssaf_15_repartition_line,fr_numismatics_taxes.tpv_urssaf_15,refund,tax,fr_numismatics_taxes.numim_442612,100.0
tpv_ir_16_repartition_line,fr_numismatics_taxes.tpv_ir_16,refund,tax,fr_numismatics_taxes.numim_442611,100.0
tpv_urssaf_16_repartition_line,fr_numismatics_taxes.tpv_urssaf_16,refund,tax,fr_numismatics_taxes.numim_442612,100.0
tpv_ir_17_repartition_line,fr_numismatics_taxes.tpv_ir_17,refund,tax,fr_numismatics_taxes.numim_442611,100.0
tpv_urssaf_17_repartition_line,fr_numismatics_taxes.tpv_urssaf_17,refund,tax,fr_numismatics_taxes.numim_442612,100.0
tpv_ir_18_repartition_line,fr_numismatics_taxes.tpv_ir_18,refund,tax,fr_numismatics_taxes.numim_442611,100.0
tpv_urssaf_18_repartition_line,fr_numismatics_taxes.tpv_urssaf_18,refund,tax,fr_numismatics_taxes.numim_442612,100.0
tpv_ir_19_repartition_line,fr_numismatics_taxes.tpv_ir_19,refund,tax,fr_numismatics_taxes.numim_442611,100.0
tpv_urssaf_19_repartition_line,fr_numismatics_taxes.tpv_urssaf_19,refund,tax,fr_numismatics_taxes.numim_442612,100.0
tpv_ir_20_repartition_line,fr_numismatics_taxes.tpv_ir_20,refund,tax,fr_numismatics_taxes.numim_442611,100.0
tpv_urssaf_20_repartition_line,fr_numismatics_taxes.tpv_urssaf_20,refund,tax,fr_numismatics_taxes.numim_442612,100.0
tpv_ir_21_repartition_line,fr_numismatics_taxes.tpv_ir_21,refund,tax,fr_numismatics_taxes.numim_442611,100.0
tpv_urssaf_21_repartition_line,fr_numismatics_taxes.tpv_urssaf_21,refund,tax,fr_numismatics_taxes.numim_442612,100.0
tmp_metaux_precieux_repartition_line,fr_numismatics_taxes.tmp_metaux_precieux,refund,tax,fr_numismatics_taxes.numim_447111,100.0
tmp_crds_repartition_line,fr_numismatics_taxes.tmp_crds,refund,tax,fr_numismatics_taxes.numim_447112,100.0
tfop_objets_precieux_repartition_line,fr_numismatics_taxes.tfop_objets_precieux,refund,tax,fr_numismatics_taxes.numim_447121,100.0
tfop_crds_repartition_line,fr_numismatics_taxes.tfop_crds,refund,tax,fr_numismatics_taxes.numim_447122,100.0
